Prod:;Derivação;Mês;Código+Derivação;Processo;Classificação Insumos;Estágio;C. Custo;Produto;Deriv.;Descrição;a;Complemento;a2;Consumo Total;a3;U.M.;Custo Direto Unit.;CIF;a4;Custo Padrão;Entrada/Saída
CHF00011C;060;01/11/2025;CHF00011C-060;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011C;VAR;01/11/2025;CHF00011C-VAR;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011C;REJ;01/11/2025;CHF00011C-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00012A;040;01/11/2025;CHF00012A-040;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00012A;050;01/11/2025;CHF00012A-050;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00012A;060;01/11/2025;CHF00012A-060;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00012A;VAR;01/11/2025;CHF00012A-VAR;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00012A;REJ;01/11/2025;CHF00012A-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00012B;REJ;01/11/2025;CHF00012B-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00012C;REJ;01/11/2025;CHF00012C-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00018A;040;01/11/2025;CHF00018A-040;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00018A;050;01/11/2025;CHF00018A-050;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00018A;060;01/11/2025;CHF00018A-060;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00018A;VAR;01/11/2025;CHF00018A-VAR;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00018A;REJ;01/11/2025;CHF00018A-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00027A;REJ;01/11/2025;CHF00027A-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00027B;REJ;01/11/2025;CHF00027B-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00027C;REJ;01/11/2025;CHF00027C-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00027D;REJ;01/11/2025;CHF00027D-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
LDP80032A;050X050;01/11/2025;LDP80032A-050X050;0;Mistura;1000;2180;CONPRO0088;U;CORTES BANCADAS;;CORTES BANCADAS;;1;;UN;17;0;;17;Saída
LDP80032A;050X050;01/11/2025;LDP80032A-050X050;0;Mistura;;;LDP80032A;050X050;RECORTADO FLAMEADO PRETO SAO GABRIEL EXTRA;;;;1;;M2;140,366046;0;;140,366046;
CH200011A;020;01/12/2025;CH200011A-020;Bruta;Mistura;1000;2180;TMG01011;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;1;;M2;8,735721;0;;8,735721;Saída
CH200011A;020;01/12/2025;CH200011A-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,278;;M;7,33178;0;;9,370015;
CH200011A;030;01/12/2025;CH200011A-030;Bruta;Mistura;1000;2180;TMG01011;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;1;;M2;8,735721;0;;8,735721;Saída
CH200011A;030;01/12/2025;CH200011A-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,136;;M;7,33178;0;;15,660682;
CH200011B;020;01/12/2025;CH200011B-020;Bruta;Mistura;1000;2180;TMG01011;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;1;;M2;8,735721;0;;8,735721;Saída
CH200011B;020;01/12/2025;CH200011B-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,278;;M;7,33178;0;;9,370015;
CH200011B;030;01/12/2025;CH200011B-030;Bruta;Mistura;1000;2180;TMG01011;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;1;;M2;8,735721;0;;8,735721;Saída
CH200011B;030;01/12/2025;CH200011B-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,136;;M;7,33178;0;;15,660682;
CH200011C;020;01/12/2025;CH200011C-020;Bruta;Mistura;1000;2180;TMG01011;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;1;;M2;8,735721;0;;8,735721;Saída
CH200011C;020;01/12/2025;CH200011C-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,278;;M;7,33178;0;;9,370015;
CH200011C;030;01/12/2025;CH200011C-030;Bruta;Mistura;1000;2180;TMG01011;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;1;;M2;8,735721;0;;8,735721;Saída
CH200011C;030;01/12/2025;CH200011C-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,136;;M;7,33178;0;;15,660682;
CH200011D;020;01/12/2025;CH200011D-020;Bruta;Mistura;1000;2180;TMG01011;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;1;;M2;8,735721;0;;8,735721;Saída
CH200011D;020;01/12/2025;CH200011D-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,278;;M;7,33178;0;;9,370015;
CH200011D;030;01/12/2025;CH200011D-030;Bruta;Mistura;1000;2180;TMG01011;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 04;;1;;M2;8,735721;0;;8,735721;Saída
CH200011D;030;01/12/2025;CH200011D-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,136;;M;7,33178;0;;15,660682;
CH200012A;020;01/12/2025;CH200012A-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200012A;020;01/11/2025;CH200012A-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200012A;020;01/12/2025;CH200012A-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;7,33178;0;;8,40222;
CH200012A;020;01/11/2025;CH200012A-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;5,64211;0;;6,465858;
CH200012A;030;01/11/2025;CH200012A-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200012A;030;01/12/2025;CH200012A-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200012A;030;01/11/2025;CH200012A-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;5,64211;0;;10,798999;
CH200012A;030;01/12/2025;CH200012A-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;7,33178;0;;14,033027;
CH200012B;020;01/12/2025;CH200012B-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200012B;020;01/11/2025;CH200012B-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200012B;020;01/12/2025;CH200012B-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;7,33178;0;;8,40222;
CH200012B;020;01/11/2025;CH200012B-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;5,64211;0;;6,465858;
CH200012B;030;01/11/2025;CH200012B-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200012B;030;01/12/2025;CH200012B-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200012B;030;01/11/2025;CH200012B-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;5,64211;0;;10,798999;
CH200012B;030;01/12/2025;CH200012B-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;7,33178;0;;14,033027;
CH200012C;020;01/12/2025;CH200012C-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200012C;020;01/11/2025;CH200012C-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200012C;020;01/12/2025;CH200012C-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;7,33178;0;;8,40222;
CH200012C;020;01/11/2025;CH200012C-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;5,64211;0;;6,465858;
CH200012C;030;01/11/2025;CH200012C-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200012C;030;01/12/2025;CH200012C-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200012C;030;01/11/2025;CH200012C-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;5,64211;0;;10,798999;
CH200012C;030;01/12/2025;CH200012C-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;7,33178;0;;14,033027;
CH200012D;020;01/12/2025;CH200012D-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200012D;020;01/11/2025;CH200012D-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200012D;020;01/12/2025;CH200012D-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;7,33178;0;;8,40222;
CH200012D;020;01/11/2025;CH200012D-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;5,64211;0;;6,465858;
CH200012D;030;01/11/2025;CH200012D-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200012D;030;01/12/2025;CH200012D-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200012D;030;01/11/2025;CH200012D-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;5,64211;0;;10,798999;
CH200012D;030;01/12/2025;CH200012D-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;7,33178;0;;14,033027;
CH200019A;020;01/12/2025;CH200019A-020;Bruta;Mistura;1000;2180;TMG01012;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,981029;0;;9,981029;Saída
CH200019A;020;01/11/2025;CH200019A-020;Bruta;Mistura;1000;2180;TMG01012;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,333408;0;;9,333408;Saída
CH200019A;020;01/12/2025;CH200019A-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,458;;M;7,33178;0;;10,689735;
CH200019A;020;01/11/2025;CH200019A-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,458;;M;5,64211;0;;8,226196;
CH200019A;030;01/11/2025;CH200019A-030;Bruta;Mistura;1000;2180;TMG01012;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,333408;0;;9,333408;Saída
CH200019A;030;01/12/2025;CH200019A-030;Bruta;Mistura;1000;2180;TMG01012;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,981029;0;;9,981029;Saída
CH200019A;030;01/11/2025;CH200019A-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,436;;M;5,64211;0;;13,74418;
CH200019A;030;01/12/2025;CH200019A-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,436;;M;7,33178;0;;17,860216;
CH200019B;020;01/12/2025;CH200019B-020;Bruta;Mistura;1000;2180;TMG01012;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,981029;0;;9,981029;Saída
CH200019B;020;01/11/2025;CH200019B-020;Bruta;Mistura;1000;2180;TMG01012;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,333408;0;;9,333408;Saída
CH200019B;020;01/12/2025;CH200019B-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,458;;M;7,33178;0;;10,689735;
CH200019B;020;01/11/2025;CH200019B-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,458;;M;5,64211;0;;8,226196;
CH200019B;030;01/11/2025;CH200019B-030;Bruta;Mistura;1000;2180;TMG01012;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,333408;0;;9,333408;Saída
CH200019B;030;01/12/2025;CH200019B-030;Bruta;Mistura;1000;2180;TMG01012;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,981029;0;;9,981029;Saída
CH200019B;030;01/11/2025;CH200019B-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,436;;M;5,64211;0;;13,74418;
CH200019B;030;01/12/2025;CH200019B-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,436;;M;7,33178;0;;17,860216;
CH200019C;020;01/12/2025;CH200019C-020;Bruta;Mistura;1000;2180;TMG01012;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,981029;0;;9,981029;Saída
CH200019C;020;01/11/2025;CH200019C-020;Bruta;Mistura;1000;2180;TMG01012;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,333408;0;;9,333408;Saída
CH200019C;020;01/12/2025;CH200019C-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,458;;M;7,33178;0;;10,689735;
CH200019C;020;01/11/2025;CH200019C-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,458;;M;5,64211;0;;8,226196;
CH200019C;030;01/11/2025;CH200019C-030;Bruta;Mistura;1000;2180;TMG01012;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,333408;0;;9,333408;Saída
CH200019C;030;01/12/2025;CH200019C-030;Bruta;Mistura;1000;2180;TMG01012;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,981029;0;;9,981029;Saída
CH200019C;030;01/11/2025;CH200019C-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,436;;M;5,64211;0;;13,74418;
CH200019C;030;01/12/2025;CH200019C-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,436;;M;7,33178;0;;17,860216;
CH200019D;020;01/12/2025;CH200019D-020;Bruta;Mistura;1000;2180;TMG01012;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,981029;0;;9,981029;Saída
CH200019D;020;01/11/2025;CH200019D-020;Bruta;Mistura;1000;2180;TMG01012;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,333408;0;;9,333408;Saída
CH200019D;020;01/12/2025;CH200019D-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,458;;M;7,33178;0;;10,689735;
CH200019D;020;01/11/2025;CH200019D-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,458;;M;5,64211;0;;8,226196;
CH200019D;030;01/11/2025;CH200019D-030;Bruta;Mistura;1000;2180;TMG01012;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,333408;0;;9,333408;Saída
CH200019D;030;01/12/2025;CH200019D-030;Bruta;Mistura;1000;2180;TMG01012;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F  - DUREZA 05;;1;;M2;9,981029;0;;9,981029;Saída
CH200019D;030;01/11/2025;CH200019D-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,436;;M;5,64211;0;;13,74418;
CH200019D;030;01/12/2025;CH200019D-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;2,436;;M;7,33178;0;;17,860216;
CH200027A;020;01/12/2025;CH200027A-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200027A;020;01/11/2025;CH200027A-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200027A;020;01/12/2025;CH200027A-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;7,33178;0;;8,40222;
CH200027A;020;01/11/2025;CH200027A-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;5,64211;0;;6,465858;
CH200027A;030;01/11/2025;CH200027A-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200027A;030;01/12/2025;CH200027A-030;Bruta;Mistura;1000;2180;TMG01010;030;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200027A;030;01/11/2025;CH200027A-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;5,64211;0;;10,798999;
CH200027A;030;01/12/2025;CH200027A-030;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,914;;M;7,33178;0;;14,033027;
CH200027B;020;01/12/2025;CH200027B-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,835836;0;;7,835836;Saída
CH200027B;020;01/11/2025;CH200027B-020;Bruta;Mistura;1000;2180;TMG01010;020;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;MF 04 -  TEAR MULTIFIOS RAMOS 1 - 72F - DUREZA 03;;1;;M2;7,327411;0;;7,327411;Saída
CH200027B;020;01/12/2025;CH200027B-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;7,33178;0;;8,40222;
CH200027B;020;01/11/2025;CH200027B-020;Bruta;MOD;1000;2800;;;MF-09 - Tear Mult Ramos 04 - 72F;;;;1,146;;M;5,64211;0;;6,465858;
